bigram,log_odds_ratio
continue support,-0.6583
continuous long,-0.6583
cool idea,-0.6583
course like,-0.6583
covered entire,-0.6583
covered one,-0.6583
cut open,-0.6583
cut paste,-0.6583
day make,-0.6583
days may,-0.6583
days using,-0.6583
deal amazon,-0.6583
decided going,-0.6583
defective item,-0.6583
definitely something,-0.6583
defrost milk,-0.6583
despite amazon,-0.6583
device health,-0.6583
devices always,-0.6583
devices would,-0.6583
diapers son,-0.6583
difference feel,-0.6583
different amazon,-0.6583
different devices,-0.6583
different product,-0.6583
different times,-0.6583
disappointed since,-0.6583
discovering new,-0.6583
done lot,-0.6583
dont seem,-0.6583
door nothing,-0.6583
drink ever,-0.6583
earlier review,-0.6583
easily accessible,-0.6583
easily also,-0.6583
easy chapter,-0.6583
easy download,-0.6583
eat without,-0.6583
eating food,-0.6583
echo google,-0.6583
either get,-0.6583
electronic device,-0.6583
encounter one,-0.6583
end unfortunately,-0.6583
enjoy watching,-0.6583
error messages,-0.6583
even cheaper,-0.6583
even figure,-0.6583
even fit,-0.6583
even fun,-0.6583
even months,-0.6583
even prime,-0.6583
even told,-0.6583
even touch,-0.6583
even try,-0.6583
even wifi,-0.6583
even worth,-0.6583
every bad,-0.6583
every corner,-0.6583
every mins,-0.6583
every pod,-0.6583
every sunday,-0.6583
everything think,-0.6583
expandable storage,-0.6583
expected around,-0.6583
expensive way,-0.6583
extra stuff,-0.6583
family also,-0.6583
far first,-0.6583
faster previous,-0.6583
features great,-0.6583
feel immediately,-0.6583
feel safe,-0.6583
feelings develop,-0.6583
fight scenes,-0.6583
figured use,-0.6583
filter good,-0.6583
filter system,-0.6583
find cheap,-0.6583
fine want,-0.6583
first new,-0.6583
first open,-0.6583
first photo,-0.6583
first purchased,-0.6583
first reading,-0.6583
fix without,-0.6583
flavor know,-0.6583
foam pad,-0.6583
following reasons,-0.6583
food drinks,-0.6583
full screen,-0.6583
fun activities,-0.6583
garden life,-0.6583
gave gift,-0.6583
gave minutes,-0.6583
gave star,-0.6583
gen fire,-0.6583
get camera,-0.6583
get major,-0.6583
get name,-0.6583
get near,-0.6583
get worse,-0.6583
get year,-0.6583
gets even,-0.6583
gets wet,-0.6583
give break,-0.6583
give proper,-0.6583
going break,-0.6583
going forward,-0.6583
good look,-0.6583
good purchased,-0.6583
good ratings,-0.6583
good solid,-0.6583
google nest,-0.6583
google search,-0.6583
got ants,-0.6583
got box,-0.6583
got couple,-0.6583
got covid,-0.6583
got replace,-0.6583
got stuck,-0.6583
grounds cup,-0.6583
gym etc,-0.6583
habits one,-0.6583
hair dryer,-0.6583
hair soap,-0.6583
half box,-0.6583
half long,-0.6583
half one,-0.6583
harmful chemicals,-0.6583
hate little,-0.6583
hate say,-0.6583
heart rate,-0.6583
heavy rain,-0.6583
high reviews,-0.6583
hiking boots,-0.6583
hint made,-0.6583
hint water,-0.6583
home pandemic,-0.6583
home test,-0.6583
hour every,-0.6583
hour would,-0.6583
however last,-0.6583
however upon,-0.6583
hundreds thousands,-0.6583
husband went,-0.6583
ice first,-0.6583
ice within,-0.6583
improvement older,-0.6583
install google,-0.6583
install software,-0.6583
installed first,-0.6583
installed house,-0.6583
instead screen,-0.6583
ipad would,-0.6583
issue well,-0.6583
kasa camera,-0.6583
kids water,-0.6583
kindle first,-0.6583
knew time,-0.6583
know may,-0.6583
know received,-0.6583
large setting,-0.6583
largest size,-0.6583
last first,-0.6583
last note,-0.6583
last update,-0.6583
lasting long,-0.6583
later real,-0.6583
law enforcement,-0.6583
leaking lid,-0.6583
least good,-0.6583
least weeks,-0.6583
less stars,-0.6583
less year,-0.6583
let download,-0.6583
let kids,-0.6583
let make,-0.6583
library app,-0.6583
life style,-0.6583
life thing,-0.6583
lifted stain,-0.6583
like ants,-0.6583
like books,-0.6583
like five,-0.6583
like open,-0.6583
like show,-0.6583
like tablet,-0.6583
like three,-0.6583
like write,-0.6583
line even,-0.6583
literally never,-0.6583
live feed,-0.6583
long took,-0.6583
longer standard,-0.6583
longer trust,-0.6583
lost interest,-0.6583
love however,-0.6583
low rating,-0.6583
lucky get,-0.6583
made worse,-0.6583
mail today,-0.6583
make trip,-0.6583
makeup women,-0.6583
man came,-0.6583
many positive,-0.6583
marvel universe,-0.6583
mary maybe,-0.6583
masks feel,-0.6583
masks found,-0.6583
material looks,-0.6583
material sturdy,-0.6583
matthew goode,-0.6583
mattress protector,-0.6583
may enough,-0.6583
maybe two,-0.6583
message needed,-0.6583
met anyone,-0.6583
michelle yeoh,-0.6583
might good,-0.6583
mind active,-0.6583
minimal plastic,-0.6583
minutes give,-0.6583
miracle grow,-0.6583
mistake never,-0.6583
months able,-0.6583
months free,-0.6583
months last,-0.6583
months year,-0.6583
morning ice,-0.6583
morning longer,-0.6583
movie going,-0.6583
much distance,-0.6583
much heat,-0.6583
much milk,-0.6583
much waste,-0.6583
much young,-0.6583
multiple devices,-0.6583
music played,-0.6583
near good,-0.6583
need pay,-0.6583
netflix prime,-0.6583
never ever,-0.6583
never issues,-0.6583
never play,-0.6583
new fresh,-0.6583
new gift,-0.6583
new max,-0.6583
new replacement,-0.6583
next season,-0.6583
night reading,-0.6583
night still,-0.6583
note amazon,-0.6583
noticeably different,-0.6583
odd take,-0.6583
often get,-0.6583
old got,-0.6583
old really,-0.6583
older firestick,-0.6583
older kindle,-0.6583
one called,-0.6583
one chance,-0.6583
one dimensional,-0.6583
one done,-0.6583
one fire,-0.6583
one issues,-0.6583
one largest,-0.6583
one may,-0.6583
one open,-0.6583
one song,-0.6583
open get,-0.6583
opened one,-0.6583
opinion appears,-0.6583
ordered arrived,-0.6583
ordered even,-0.6583
ordered set,-0.6583
others back,-0.6583
others one,-0.6583
owned many,-0.6583
packaging different,-0.6583
page still,-0.6583
paper great,-0.6583
parent controls,-0.6583
pay much,-0.6583
perfectly would,-0.6583
performance poor,-0.6583
person took,-0.6583
photo also,-0.6583
pictures posted,-0.6583
planning using,-0.6583
plastic plastic,-0.6583
play together,-0.6583
play want,-0.6583
played back,-0.6583
playing almost,-0.6583
please give,-0.6583
please thank,-0.6583
potential buyers,-0.6583
precious milk,-0.6583
pretty clear,-0.6583
pretty solid,-0.6583
pretty straight,-0.6583
previous fire,-0.6583
price cheaper,-0.6583
problem got,-0.6583
problem tried,-0.6583
problems saw,-0.6583
product clearly,-0.6583
product code,-0.6583
product line,-0.6583
product money,-0.6583
product ordered,-0.6583
product photos,-0.6583
product product,-0.6583
product seller,-0.6583
product sold,-0.6583
promised would,-0.6583
promotional material,-0.6583
pull apart,-0.6583
purchase buy,-0.6583
purchase even,-0.6583
purchase every,-0.6583
purchase got,-0.6583
purchase second,-0.6583
purchased large,-0.6583
purchased used,-0.6583
put bed,-0.6583
quality batteries,-0.6583
quality coins,-0.6583
quality even,-0.6583
quality look,-0.6583
quality pads,-0.6583
question questions,-0.6583
question whether,-0.6583
questions like,-0.6583
quickly get,-0.6583
ran local,-0.6583
rather use,-0.6583
rating stars,-0.6583
read interesting,-0.6583
real apple,-0.6583
real people,-0.6583
real review,-0.6583
realize incredible,-0.6583
realized bottle,-0.6583
really cannot,-0.6583
really thought,-0.6583
reason got,-0.6583
received defective,-0.6583
recommend family,-0.6583
recording device,-0.6583
recording time,-0.6583
refund replacement,-0.6583
relaxing music,-0.6583
returned day,-0.6583
review know,-0.6583
reviews good,-0.6583
reviews positive,-0.6583
reviews understand,-0.6583
reviews want,-0.6583
right use,-0.6583
ring cam,-0.6583
ring never,-0.6583
rinse repeat,-0.6583
roaming around,-0.6583
rock hard,-0.6583
rolled around,-0.6583
sad amazon,-0.6583
safe place,-0.6583
said really,-0.6583
said still,-0.6583
save videos,-0.6583
saw coming,-0.6583
say complete,-0.6583
say hint,-0.6583
say play,-0.6583
say push,-0.6583
say yes,-0.6583
says get,-0.6583
screen also,-0.6583
seat cushion,-0.6583
second third,-0.6583
second video,-0.6583
secure enough,-0.6583
see clear,-0.6583
see else,-0.6583
see happening,-0.6583
see red,-0.6583
see twist,-0.6583
seller asked,-0.6583
sends notifications,-0.6583
service contacted,-0.6583
set another,-0.6583
share personal,-0.6583
ship back,-0.6583
show great,-0.6583
side even,-0.6583
similar product,-0.6583
simple water,-0.6583
simply cannot,-0.6583
since came,-0.6583
since ordered,-0.6583
single fly,-0.6583
sister got,-0.6583
sit patio,-0.6583
slides right,-0.6583
small habits,-0.6583
small like,-0.6583
small really,-0.6583
something seriously,-0.6583
son able,-0.6583
sour cream,-0.6583
spray stain,-0.6583
started see,-0.6583
stations nearby,-0.6583
stay connected,-0.6583
stick gen,-0.6583
sticky trap,-0.6583
still return,-0.6583
still tried,-0.6583
still trying,-0.6583
still water,-0.6583
store amazon,-0.6583
stories also,-0.6583
story wish,-0.6583
stuff water,-0.6583
subscription based,-0.6583
subscription fee,-0.6583
subscription months,-0.6583
support reached,-0.6583
supposed use,-0.6583
sure love,-0.6583
surprised big,-0.6583
swaddle blanket,-0.6583
sweating like,-0.6583
tablet came,-0.6583
tablet game,-0.6583
take anymore,-0.6583
take small,-0.6583
tell anything,-0.6583
tell high,-0.6583
terrible quality,-0.6583
test kit,-0.6583
thing getting,-0.6583
thing huge,-0.6583
things inside,-0.6583
though amazon,-0.6583
thought amazon,-0.6583
thought found,-0.6583
thought great,-0.6583
till get,-0.6583
time received,-0.6583
times mostly,-0.6583
times ordered,-0.6583
times want,-0.6583
tiny pieces,-0.6583
tiny plastic,-0.6583
today get,-0.6583
told alexa,-0.6583
told first,-0.6583
took three,-0.6583
top pouring,-0.6583
traded old,-0.6583
trip would,-0.6583
troubleshooting unable,-0.6583
try another,-0.6583
two going,-0.6583
two photos,-0.6583
unless one,-0.6583
unlimited subscription,-0.6583
update received,-0.6583
update seller,-0.6583
update software,-0.6583
upset first,-0.6583
usb adapter,-0.6583
use kindle,-0.6583
use maybe,-0.6583
use plastic,-0.6583
use rest,-0.6583
use wipes,-0.6583
used huge,-0.6583
used old,-0.6583
using gps,-0.6583
using tablet,-0.6583
using time,-0.6583
verity way,-0.6583
version latest,-0.6583
version still,-0.6583
version would,-0.6583
viewing pleasure,-0.6583
want also,-0.6583
want standard,-0.6583
wanted love,-0.6583
wanted replace,-0.6583
warranty period,-0.6583
wash every,-0.6583
wash hair,-0.6583
wash top,-0.6583
watch first,-0.6583
water etc,-0.6583
water hours,-0.6583
water ppm,-0.6583
water using,-0.6583
watermelon one,-0.6583
way home,-0.6583
weather news,-0.6583
web site,-0.6583
weeks get,-0.6583
weeks would,-0.6583
well maybe,-0.6583
well month,-0.6583
well sad,-0.6583
went store,-0.6583
wet brush,-0.6583
wide fit,-0.6583
wife bought,-0.6583
wiped clean,-0.6583
wipes used,-0.6583
wireless router,-0.6583
wish amazon,-0.6583
wish knew,-0.6583
within pages,-0.6583
without guilt,-0.6583
work anything,-0.6583
work pretty,-0.6583
work unless,-0.6583
work would,-0.6583
working correctly,-0.6583
working tried,-0.6583
works need,-0.6583
works way,-0.6583
worse worse,-0.6583
would comfortable,-0.6583
would improvement,-0.6583
would sell,-0.6583
would stop,-0.6583
would waste,-0.6583
written review,-0.6583
written well,-0.6583
wrong along,-0.6583
wrong got,-0.6583
wrong thing,-0.6583
wyze cameras,-0.6583
year almost,-0.6583
year past,-0.6583
year purchased,-0.6583
year worked,-0.6583
years loved,-0.6583
years really,-0.6583
yoga mat,-0.6583
ability access,-0.6581
ability pre,-0.6581
able remove,-0.6581
able return,-0.6581
able set,-0.6581
absolutely crazy,-0.6581
absolutely difference,-0.6581
absorbent cotton,-0.6581
access device,-0.6581
access digital,-0.6581
access points,-0.6581
accident find,-0.6581
accidentally press,-0.6581
according amazon,-0.6581
account created,-0.6581
account enter,-0.6581
account good,-0.6581
account installed,-0.6581
account says,-0.6581
accounting software,-0.6581
accurate compared,-0.6581
achilles heel,-0.6581
activate license,-0.6581
activated without,-0.6581
activation process,-0.6581
active dog,-0.6581
actual vinyl,-0.6581
actually amazon,-0.6581
actually clean,-0.6581
actually closer,-0.6581
actually cut,-0.6581
actually great,-0.6581
actually happened,-0.6581
actually needed,-0.6581
actually pick,-0.6581
actually smell,-0.6581
actually supposed,-0.6581
actually test,-0.6581
actually threw,-0.6581
actually using,-0.6581
add devices,-0.6581
add juice,-0.6581
add liquid,-0.6581
add second,-0.6581
addario model,-0.6581
added another,-0.6581
added app,-0.6581
added expense,-0.6581
added safety,-0.6581
added subscribe,-0.6581
adding product,-0.6581
additional fee,-0.6581
adds decent,-0.6581
adhere skin,-0.6581
adhesive well,-0.6581
adjust brightness,-0.6581
admit first,-0.6581
ads content,-0.6581
ads magazine,-0.6581
ads much,-0.6581
advertised price,-0.6581
advertisements magazines,-0.6581
advertisements pictures,-0.6581
afraid going,-0.6581
ago looked,-0.6581
ago seems,-0.6581
ago stopped,-0.6581
ago switch,-0.6581
ago though,-0.6581
ago woke,-0.6581
agree others,-0.6581
ahead bought,-0.6581
air breathe,-0.6581
air dried,-0.6581
air got,-0.6581
air hear,-0.6581
airpod case,-0.6581
alcohol wipe,-0.6581
alexa device,-0.6581
allergic reactions,-0.6581
allow access,-0.6581
allow good,-0.6581
allowed view,-0.6581
almost anywhere,-0.6581
almost hear,-0.6581
almost whole,-0.6581
almost yrs,-0.6581
almost zero,-0.6581
alone usb,-0.6581
alone use,-0.6581
along never,-0.6581
already saved,-0.6581
already spent,-0.6581
already stopped,-0.6581
also apply,-0.6581
also brand,-0.6581
also company,-0.6581
also dog,-0.6581
also happened,-0.6581
also hard,-0.6581
also heavily,-0.6581
also look,-0.6581
also provided,-0.6581
also released,-0.6581
also send,-0.6581
also stand,-0.6581
also tested,-0.6581
also thing,-0.6581
also thinking,-0.6581
also turns,-0.6581
also unfortunate,-0.6581
also willing,-0.6581
always better,-0.6581
always curious,-0.6581
always disappointed,-0.6581
always extremely,-0.6581
always failed,-0.6581
always hit,-0.6581
always purchase,-0.6581
always running,-0.6581
always says,-0.6581
always waiting,-0.6581
always went,-0.6581
amazing truly,-0.6581
amazon added,-0.6581
amazon although,-0.6581
amazon another,-0.6581
amazon better,-0.6581
amazon buyer,-0.6581
amazon card,-0.6581
amazon company,-0.6581
amazon confirmed,-0.6581
amazon contacted,-0.6581
amazon download,-0.6581
amazon easy,-0.6581
amazon eero,-0.6581
amazon either,-0.6581
amazon every,-0.6581
amazon family,-0.6581
amazon gets,-0.6581
amazon imagine,-0.6581
amazon notice,-0.6581
amazon order,-0.6581
amazon part,-0.6581
amazon pencils,-0.6581
amazon places,-0.6581
amazon quick,-0.6581
amazon quite,-0.6581
amazon replace,-0.6581
amazon reviewer,-0.6581
amazon say,-0.6581
amazon searched,-0.6581
amazon shows,-0.6581
amazon thanks,-0.6581
amazon thicker,-0.6581
amazon third,-0.6581
amazon toilet,-0.6581
amazon unfortunately,-0.6581
amazon using,-0.6581
amazon week,-0.6581
amazon worries,-0.6581
american made,-0.6581
amount stretching,-0.6581
android charger,-0.6581
android ios,-0.6581
android iphone,-0.6581
annoying constant,-0.6581
annoying hours,-0.6581
annoying squeals,-0.6581
annoying wish,-0.6581
another another,-0.6581
another bag,-0.6581
another bill,-0.6581
another couple,-0.6581
another diaper,-0.6581
another finally,-0.6581
another game,-0.6581
another inches,-0.6581
another litter,-0.6581
another manufacturer,-0.6581
another mattress,-0.6581
another month,-0.6581
another monthly,-0.6581
another put,-0.6581
another usb,-0.6581
another wall,-0.6581
another week,-0.6581
anti malware,-0.6581
ants spiders,-0.6581
anxiety attack,-0.6581
anybody read,-0.6581
anymore really,-0.6581
anyone actually,-0.6581
anyone going,-0.6581
anyone heart,-0.6581
anyone little,-0.6581
anyone put,-0.6581
anyone questions,-0.6581
anyone reads,-0.6581
anything book,-0.6581
anything different,-0.6581
anything dirty,-0.6581
anything let,-0.6581
anything one,-0.6581
anything pretty,-0.6581
anything raise,-0.6581
anything switched,-0.6581
anytime soon,-0.6581
apart year,-0.6581
app able,-0.6581
app available,-0.6581
app camera,-0.6581
app cloud,-0.6581
app customer,-0.6581
app downloaded,-0.6581
app gives,-0.6581
app instead,-0.6581
app looks,-0.6581
app one,-0.6581
app right,-0.6581
app schedule,-0.6581
app sign,-0.6581
app view,-0.6581
apparently made,-0.6581
apparently way,-0.6581
appear well,-0.6581
appears screen,-0.6581
apple could,-0.6581
apple device,-0.6581
apple support,-0.6581
application might,-0.6581
apply patch,-0.6581
area almost,-0.6581
area camera,-0.6581
area front,-0.6581
area know,-0.6581
area means,-0.6581
area since,-0.6581
areas could,-0.6581
areas house,-0.6581
arm get,-0.6581
arm hammer,-0.6581
arm well,-0.6581
around cable,-0.6581
around clean,-0.6581
around handle,-0.6581
around leg,-0.6581
around naked,-0.6581
around people,-0.6581
around per,-0.6581
around ppm,-0.6581
arris modem,-0.6581
arrived bubble,-0.6581
arrived read,-0.6581
arrived took,-0.6581
arrived within,-0.6581
arrived work,-0.6581
article editor,-0.6581
articles read,-0.6581
asked husband,-0.6581
asked questions,-0.6581
asking someone,-0.6581
assumed since,-0.6581
ate half,-0.6581
attached directly,-0.6581
attached phone,-0.6581
attached show,-0.6581
attempted install,-0.6581
audio book,-0.6581
audio cables,-0.6581
audio interfaces,-0.6581
august recently,-0.6581
authentic strings,-0.6581
authors book,-0.6581
autistic son,-0.6581
auto sensing,-0.6581
automated response,-0.6581
available content,-0.6581
available usb,-0.6581
available use,-0.6581
average consumer,-0.6581
aware subscription,-0.6581
away anything,-0.6581
away bags,-0.6581
away either,-0.6581
away give,-0.6581
away going,-0.6581
away kept,-0.6581
away never,-0.6581
away packaging,-0.6581
away really,-0.6581
away showed,-0.6581
away wall,-0.6581
babe ruth,-0.6581
baby food,-0.6581
back basics,-0.6581
back bench,-0.6581
back bring,-0.6581
back broke,-0.6581
back company,-0.6581
back currently,-0.6581
back defective,-0.6581
back going,-0.6581
back knees,-0.6581
back later,-0.6581
back learned,-0.6581
back loose,-0.6581
back months,-0.6581
back picked,-0.6581
back quality,-0.6581
back regular,-0.6581
back rest,-0.6581
back said,-0.6581
back says,-0.6581
back schools,-0.6581
back seller,-0.6581
back shower,-0.6581
back site,-0.6581
back specific,-0.6581
back trusting,-0.6581
back usb,-0.6581
back vengeance,-0.6581
back way,-0.6581
back worked,-0.6581
backing place,-0.6581
backside like,-0.6581
bad already,-0.6581
bad cheap,-0.6581
bad mistake,-0.6581
bad noticed,-0.6581
bad really,-0.6581
bad way,-0.6581
bad would,-0.6581
badly made,-0.6581
bag able,-0.6581
bag amazon,-0.6581
bag certain,-0.6581
bag coffee,-0.6581
bag every,-0.6581
bag feels,-0.6581
bag honestly,-0.6581
bag pellets,-0.6581
bag received,-0.6581
bag scooped,-0.6581
bag sitting,-0.6581
bag way,-0.6581
bags actually,-0.6581
bags around,-0.6581
bags chips,-0.6581
bags even,-0.6581
bags normally,-0.6581
baked muffins,-0.6581
baking cups,-0.6581
balance need,-0.6581
ball play,-0.6581
ball time,-0.6581
band get,-0.6581
bands still,-0.6581
barely covered,-0.6581
barely months,-0.6581
bars years,-0.6581
base little,-0.6581
based app,-0.6581
based personal,-0.6581
based recommendations,-0.6581
basement old,-0.6581
basically time,-0.6581
basil bluebell,-0.6581
bathroom clean,-0.6581
batter wait,-0.6581
batteries hold,-0.6581
batteries lasted,-0.6581
batteries purchased,-0.6581
batteries use,-0.6581
battery charger,-0.6581
battery charging,-0.6581
battery noco,-0.6581
battery one,-0.6581
bay cups,-0.6581
beauty supply,-0.6581
bed many,-0.6581
bed time,-0.6581
bedroom floor,-0.6581
begging get,-0.6581
begin using,-0.6581
belief system,-0.6581
believe even,-0.6581
believe found,-0.6581
believe lies,-0.6581
believe never,-0.6581
believe product,-0.6581
believe reviews,-0.6581
bend easily,-0.6581
bend open,-0.6581
bent neck,-0.6581
benzalkonium chloride,-0.6581
best alternative,-0.6581
best dogs,-0.6581
best parts,-0.6581
best reviews,-0.6581
best thinking,-0.6581
better anyone,-0.6581
better bought,-0.6581
better cause,-0.6581
better cost,-0.6581
better mine,-0.6581
better prepared,-0.6581
better real,-0.6581
better stuff,-0.6581
better system,-0.6581
beware norton,-0.6581
beware purchasing,-0.6581
big giant,-0.6581
bigger always,-0.6581
biggest complaint,-0.6581
binoculars able,-0.6581
binoculars manufactured,-0.6581
biodegradable know,-0.6581
birthday cake,-0.6581
bit confused,-0.6581
bit disappointed,-0.6581
bit started,-0.6581
bit taste,-0.6581
bit wary,-0.6581
bite thing,-0.6581
bites even,-0.6581
bitter aftertaste,-0.6581
bitterly disappointed,-0.6581
black completely,-0.6581
black fabric,-0.6581
black line,-0.6581
black raspberry,-0.6581
black shirts,-0.6581
black specks,-0.6581
black spots,-0.6581
black stuff,-0.6581
black tank,-0.6581
blades would,-0.6581
blanket even,-0.6581
bleach would,-0.6581
blink mini,-0.6581
blink user,-0.6581
block blue,-0.6581
block like,-0.6581
blood sugar,-0.6581
blue came,-0.6581
blue ray,-0.6581
blue similar,-0.6581
bluetooth range,-0.6581
bodied coffee,-0.6581
body work,-0.6581
bonus two,-0.6581
book added,-0.6581
book children,-0.6581
book discusses,-0.6581
book likely,-0.6581
book maybe,-0.6581
book trying,-0.6581
books purchased,-0.6581
books want,-0.6581
boots look,-0.6581
bosch icon,-0.6581
bother case,-0.6581
bother much,-0.6581
bother one,-0.6581
bother trying,-0.6581
bottle exact,-0.6581
bottle price,-0.6581
bottle see,-0.6581
bottle thought,-0.6581
bottles ice,-0.6581
bottom back,-0.6581
bottom button,-0.6581
bottom like,-0.6581
bottom litter,-0.6581
bottom see,-0.6581
bottom would,-0.6581
bought already,-0.6581
bought awful,-0.6581
bought based,-0.6581
bought batteries,-0.6581
bought bought,-0.6581
bought cameras,-0.6581
bought cheaper,-0.6581
bought class,-0.6581
bought earlier,-0.6581
bought figured,-0.6581
bought four,-0.6581
bought gloves,-0.6581
bought going,-0.6581
bought google,-0.6581
bought high,-0.6581
bought hoses,-0.6581
bought inch,-0.6581
bought knew,-0.6581
bought love,-0.6581
bought micro,-0.6581
bought month,-0.6581
bought need,-0.6581
bought noticed,-0.6581
bought recently,-0.6581
bought ring,-0.6581
bought sale,-0.6581
bought without,-0.6581
bought worth,-0.6581
bowl first,-0.6581
box camera,-0.6581
box charge,-0.6581
box chips,-0.6581
box contains,-0.6581
box dogs,-0.6581
box even,-0.6581
box expiration,-0.6581
box figured,-0.6581
box going,-0.6581
box got,-0.6581
box importantly,-0.6581
box know,-0.6581
box less,-0.6581
box let,-0.6581
box literally,-0.6581
box look,-0.6581
box miracle,-0.6581
box noticed,-0.6581
box old,-0.6581
box outside,-0.6581
box pouches,-0.6581
box reinforced,-0.6581
box several,-0.6581
box showed,-0.6581
box shows,-0.6581
box shut,-0.6581
box still,-0.6581
boxes away,-0.6581
boxes first,-0.6581
boxes make,-0.6581
boxes month,-0.6581
boxes saved,-0.6581
boxes three,-0.6581
brand anyone,-0.6581
brand cat,-0.6581
brand comparable,-0.6581
brand ever,-0.6581
brand get,-0.6581
brand however,-0.6581
brand product,-0.6581
brand say,-0.6581
brand spanking,-0.6581
brands hoping,-0.6581
break good,-0.6581
break mask,-0.6581
break open,-0.6581
break use,-0.6581
bright used,-0.6581
bring big,-0.6581
brings question,-0.6581
broke months,-0.6581
broke quickly,-0.6581
broke within,-0.6581
broken piece,-0.6581
broken short,-0.6581
broken work,-0.6581
bronze bought,-0.6581
bronze nanoweb,-0.6581
brush handle,-0.6581
brush wet,-0.6581
bug problem,-0.6581
built speaker,-0.6581
built watch,-0.6581
built water,-0.6581
burnt rubber,-0.6581
business today,-0.6581
butter flavor,-0.6581
button first,-0.6581
buttons phone,-0.6581
buy apple,-0.6581
buy back,-0.6581
buy costco,-0.6581
buy device,-0.6581
buy diapers,-0.6581
buy filter,-0.6581
buy freezer,-0.6581
buy game,-0.6581
buy guess,-0.6581
buy manufacturer,-0.6581
buy many,-0.6581
buy matter,-0.6581
buy multi,-0.6581
buy physical,-0.6581
buy pods,-0.6581
buy purchased,-0.6581
buy replacements,-0.6581
buy said,-0.6581
buy sheets,-0.6581
buy telling,-0.6581
buy thicker,-0.6581
buy toy,-0.6581
buy wish,-0.6581
buying cheap,-0.6581
buying people,-0.6581
buying regular,-0.6581
buying reliable,-0.6581
buying saw,-0.6581
buying since,-0.6581
buying tried,-0.6581
buying two,-0.6581
cable buy,-0.6581
cable internet,-0.6581
cable order,-0.6581
calcium iron,-0.6581
calculator imagine,-0.6581
call speak,-0.6581
call tech,-0.6581
called get,-0.6581
called light,-0.6581
cam one,-0.6581
came beautiful,-0.6581
came bent,-0.6581
came easily,-0.6581
came last,-0.6581
came loose,-0.6581
came noticed,-0.6581
came original,-0.6581
came pouring,-0.6581
camera directly,-0.6581
camera fine,-0.6581
camera long,-0.6581
camera monitor,-0.6581
camera months,-0.6581
camera much,-0.6581
camera near,-0.6581
camera needed,-0.6581
camera needs,-0.6581
camera never,-0.6581
camera records,-0.6581
camera show,-0.6581
camera total,-0.6581
cameras camera,-0.6581
cameras different,-0.6581
cameras used,-0.6581
cameras work,-0.6581
cancel amazon,-0.6581
cancel return,-0.6581
cancelled auto,-0.6581
cancelled due,-0.6581
cancer survivor,-0.6581
cannot blamed,-0.6581
cannot connect,-0.6581
cannot copy,-0.6581
cannot locate,-0.6581
cannot setup,-0.6581
cannot swap,-0.6581
cannot understand,-0.6581
canvas material,-0.6581
car accident,-0.6581
car might,-0.6581
car ran,-0.6581
car without,-0.6581
card actually,-0.6581
card couple,-0.6581
card credit,-0.6581
card days,-0.6581
card good,-0.6581
card missing,-0.6581
card needed,-0.6581
card problem,-0.6581
card several,-0.6581
card takes,-0.6581
card zero,-0.6581
cards near,-0.6581
cards online,-0.6581
cards seller,-0.6581
cards value,-0.6581
cards various,-0.6581
cards would,-0.6581
care anyone,-0.6581
care would,-0.6581
carry store,-0.6581
case cheap,-0.6581
case family,-0.6581
case never,-0.6581
case point,-0.6581
case since,-0.6581
cases decided,-0.6581
cat dog,-0.6581
cat family,-0.6581
cat guess,-0.6581
catches eye,-0.6581
cats buy,-0.6581
cats collars,-0.6581
caught anything,-0.6581
cause serious,-0.6581
caused irritation,-0.6581
caused problem,-0.6581
causes lot,-0.6581
causing water,-0.6581
center asked,-0.6581
center field,-0.6581
center hole,-0.6581
center make,-0.6581
ceramic coating,-0.6581
ceramides hyaluronic,-0.6581
cerave product,-0.6581
certain places,-0.6581
chance bought,-0.6581
chance cheap,-0.6581
change clothes,-0.6581
change know,-0.6581
change much,-0.6581
change size,-0.6581
changed first,-0.6581
changed used,-0.6581
changed years,-0.6581
changes made,-0.6581
changes worse,-0.6581
changing review,-0.6581
changing sometimes,-0.6581
characters instead,-0.6581
characters need,-0.6581
characters used,-0.6581
characters want,-0.6581
charge back,-0.6581
charge little,-0.6581
charge made,-0.6581
charge something,-0.6581
charge thought,-0.6581
charge without,-0.6581
charged charged,-0.6581
charged day,-0.6581
charged get,-0.6581
charged led,-0.6581
charged monthly,-0.6581
charger hooked,-0.6581
charges usb,-0.6581
charging back,-0.6581
charging batteries,-0.6581
charging every,-0.6581
chat session,-0.6581
cheap cons,-0.6581
cheap expected,-0.6581
cheap inner,-0.6581
cheap light,-0.6581
cheap non,-0.6581
cheap poorly,-0.6581
cheaper easier,-0.6581
cheaper make,-0.6581
cheaper two,-0.6581
cheaper versions,-0.6581
check box,-0.6581
check measurements,-0.6581
check nice,-0.6581
check things,-0.6581
checking reviews,-0.6581
checking seller,-0.6581
chemical guys,-0.6581
chemicals water,-0.6581
cherokee ordered,-0.6581
chest hair,-0.6581
child buy,-0.6581
children one,-0.6581
chinese standard,-0.6581
chinese version,-0.6581
chocolate peanut,-0.6581
choice order,-0.6581
choices right,-0.6581
christmas day,-0.6581
christmas got,-0.6581
citrus smell,-0.6581
claims one,-0.6581
classroom would,-0.6581
clean filters,-0.6581
clean floors,-0.6581
clean litter,-0.6581
